gene1|gene2|experiment_type|reference
IMMT|AOF2|yeast 2-hybrid|16169070
IMMT|ECSIT|yeast 2-hybrid|16169070
IMMT|C16orf24|yeast 2-hybrid|16169070
IMMT|MRPL44|yeast 2-hybrid|16169070
IMMT|NIPSNAP3A|yeast 2-hybrid|16169070
IMMT|ASCC2|yeast 2-hybrid|16169070
IMMT|RER1|yeast 2-hybrid|16169070
IMMT|STMN4|yeast 2-hybrid|16169070
IMMT|C10orf88|yeast 2-hybrid|16169070
RFC5|MED31|yeast 2-hybrid|16169070
DDR1|WDR57|yeast 2-hybrid|16169070
DDR1|C1orf165|yeast 2-hybrid|16169070
GBP2|SAT1|yeast 2-hybrid|16169070
GBP2|HSPE1|yeast 2-hybrid|16169070
GBP2|FXR1|yeast 2-hybrid|16169070
GBP2|SEPHS1|yeast 2-hybrid|16169070
GBP2|SERPINB9|yeast 2-hybrid|16169070
GBP2|TFG|yeast 2-hybrid|16169070
GBP2|MAGI1|yeast 2-hybrid|16169070
GBP2|PPP1R8|yeast 2-hybrid|16169070
GBP2|PAFAH1B3|yeast 2-hybrid|16169070
GBP2|LSM2|yeast 2-hybrid|16169070
GBP2|BTBD2|yeast 2-hybrid|16169070
GBP2|KLHL20|yeast 2-hybrid|16169070
E2F2|BCAR1|yeast 2-hybrid|16169070
CDKN2B|IKBKAP|yeast 2-hybrid|16169070
CDKN2B|ARPC3|yeast 2-hybrid|16169070
CDKN2B|CCDC90B|yeast 2-hybrid|16169070
FABP4|VIM|yeast 2-hybrid|16169070
TNK2|SEZ6|yeast 2-hybrid|16169070
FLOT1|GOLPH2|yeast 2-hybrid|16169070
CCNDBP1|MRPS9|yeast 2-hybrid|16169070
PPAP2C|UNC119|yeast 2-hybrid|16169070
ATP6V1F|KIAA1377|yeast 2-hybrid|16169070
PDZK1IP1|UTP14A|yeast 2-hybrid|16169070
PDZK1IP1|COPS6|yeast 2-hybrid|16169070
EPN1|KIAA1377|yeast 2-hybrid|16169070
SUMF2|FBXW7|yeast 2-hybrid|16169070
GNL3|ASCC2|yeast 2-hybrid|16169070
PDCD6IP|RAMP3|yeast 2-hybrid|16169070
CCT5|TBC1D17|yeast 2-hybrid|16169070
GDPD2|HEXDC|yeast 2-hybrid|16169070
GDPD2|C10orf4|yeast 2-hybrid|16169070
GIT1|CCDC113|yeast 2-hybrid|16169070
GIT1|C8orf33|yeast 2-hybrid|16169070
FUNDC2|ASCC2|yeast 2-hybrid|16169070
FAM45B|C17orf61|yeast 2-hybrid|16169070
MAGEH1|CDK5RAP2|yeast 2-hybrid|16169070
MAGEH1|NAP1L5|yeast 2-hybrid|16169070
CXorf26|PPP1R16A|yeast 2-hybrid|16169070
UTP14A|TINAGL1|yeast 2-hybrid|16169070
UTP14A|CCDC106|yeast 2-hybrid|16169070
UTP14A|PHF10|yeast 2-hybrid|16169070
UTP14A|WDR33|yeast 2-hybrid|16169070
VDAC3|DDX24|yeast 2-hybrid|16169070
HSP90AB1|DDX24|yeast 2-hybrid|16169070
HSPA1B|PGAM5|yeast 2-hybrid|16169070
ATF4|CCDC106|yeast 2-hybrid|16169070
SETDB1|TOLLIP|yeast 2-hybrid|16169070
SETDB1|TOB1|yeast 2-hybrid|16169070
SETDB1|PLEKHA4|yeast 2-hybrid|16169070
SETDB1|AOF2|yeast 2-hybrid|16169070
SETDB1|TMEM142B|yeast 2-hybrid|16169070
SETDB1|CCDC106|yeast 2-hybrid|16169070
SETDB1|POLA2|yeast 2-hybrid|16169070
SETDB1|PREI3|yeast 2-hybrid|16169070
SETDB1|PHF10|yeast 2-hybrid|16169070
SETDB1|SLC38A3|yeast 2-hybrid|16169070
SETDB1|C11orf1|yeast 2-hybrid|16169070
SETDB1|CBX8|yeast 2-hybrid|16169070
SETDB1|FLYWCH1|yeast 2-hybrid|16169070
SETDB1|PGAM5|yeast 2-hybrid|16169070
SETDB1|OLFML3|yeast 2-hybrid|16169070
SETDB1|THAP8|yeast 2-hybrid|16169070
SETDB1|TRIM16|yeast 2-hybrid|16169070
CACNB4|MED31|yeast 2-hybrid|16169070
SIRT1|RELA|in vivo|15152190
EIF2AK1|EIF2S1|in vivo|10542257,9819435,1677563
PRKACA|ATF1|in vitro|9016641
PRKCI|ANXA1|in vitro|2457390
PKM2|MARCKSL1|in vitro|8132675
DBH|C2orf7|in vitro|15498570
GSK3B|CEBPA|in vivo|10567568
CSNK2A1|HES6|in vitro|12972610
CSNK2A1|AIP|in vitro|12361709
PRKCD|YWHAZ|in vivo|9705322
MMP11|SERPINA1|in vitro;in vivo|7523394
STK11|PRKAA2|in vitro|10642499
SERPINF2|SERPINF2|in vitro|14751930
CDC42BPA|PPP1R12C|in vivo|11399775
CSNK2A1|C1R|in vivo|8635594
CSNK2A1|GAP43|in vitro|1828073
ADAMTS4|AGC1|in vitro|11854269,10751421,16188468,14701864
P4HB|EIF2S1|in vitro|1677563
CSNK2A1|FKBP4|in vitro|9405642
MAPK14|PLA2G4A|in vivo|9468497
CTRB1|LYPD3|in vitro|15012588
PALB2|BRCA2|in vivo|16793542
MS4A1|LCK|in vitro|7545683
MS4A1|LYN|in vitro|7545683
ADAM12|FSTL3|in vitro;in vivo;yeast 2-hybrid|15574124
AP4M1|GRID2|in vitro;in vivo;yeast 2-hybrid|14572453
AP4M1|CACNG3|yeast 2-hybrid|14572453
INS|RB1|in vitro;in vivo|10938588,7818556
SUPV3L1|CENTA1|in vitro;in vivo;yeast 2-hybrid|16176273
CTNNB1|CDK6|in vitro;in vivo|17208333
PPP2CA|TSC2|in vitro;in vivo|17163575
PPP2CA|RHOB|in vitro;in vivo|17163575
PPP2CA|RRAS|in vitro;in vivo|17163575
PPP2CA|NME2|in vitro;in vivo|17163575
PSMD10|MDM2|in vitro;in vivo|16023600
PSMD10|RB1|in vitro;in vivo|10613832
WTIP|WT1|in vitro;in vivo;yeast 2-hybrid|14736876
CAND2|CNOT3|in vitro;yeast 2-hybrid|12207886
WTIP|CD2AP|in vivo|14736876
CAND2|UBE3C|in vitro;in vivo|12692129
CAND2|TBP|in vitro|10441524
NCOA3|RARB|in vitro|12665583
NCOA3|RARG|in vitro|12665583
NCOA1|RARG|in vitro|12665583
GIPC1|MYO6|in vitro;in vivo;yeast 2-hybrid|12857860,10198040,16908842
UBE2I|ARNT|in vitro;in vivo|12354770
GIPC1|LRP2|in vitro;in vivo;yeast 2-hybrid|11912251,10827173,16908842
PEX14|NFE2|in vitro;yeast 2-hybrid|11863372
PEX14|HDAC1|in vitro|11863372
GZMB|CASP9|in vitro|8900201,1067155,9651578
GALNT1|PTPRF|in vitro|9295285
CASP9|CAPN2|in vitro|10671558
CASP6|CASP3|in vitro|8900201
ERVWE1|SLC1A5|in vitro;in vivo|12050356,16820059
ERVWE1|SLC1A4|in vitro;in vivo|12050356,16820059
PTK2|TP53|in vitro;in vivo|15855171
FGF2|SDC2|in vitro|16982797
FGF2|SDC1|in vitro|16982797
LACRT|SDC1|in vitro|16982797
FSCN1|CTNNB1|in vitro|10026156
PPP1R9B|PPP1CA|in vivo;yeast 2-hybrid|15231748,10194355
PPP1R2|PPP1R9B|in vitro|12270929
FAU|COPS6|yeast 2-hybrid|16169070
ALDH2|FAM45B|yeast 2-hybrid|16169070
ALDH2|UNC119|yeast 2-hybrid|16169070
ALDH2|IGSF21|yeast 2-hybrid|16169070
ALDH2|C2orf18|yeast 2-hybrid|16169070
ACTC1|BRP44L|yeast 2-hybrid|16169070
ACTG1|PTPRO|yeast 2-hybrid|16169070
ACTG1|ST3GAL3|yeast 2-hybrid|16169070
APEH|TMEM62|yeast 2-hybrid|16169070
ATP5B|PSME3|yeast 2-hybrid|16169070
ARF1|C4orf14|yeast 2-hybrid|16169070
ARF1|WBP11|yeast 2-hybrid|16169070
ALB|LUC7L2|yeast 2-hybrid|16169070
ADH5|CHD3|yeast 2-hybrid|16169070
A2M|C11orf58|yeast 2-hybrid|16169070
AFP|RUTBC1|yeast 2-hybrid|16169070
LRPAP1|RTN4|yeast 2-hybrid|16169070
LRPAP1|PPM1G|yeast 2-hybrid|16169070
LRPAP1|POLA2|yeast 2-hybrid|16169070
APLP1|GSTM4|yeast 2-hybrid|16169070
APLP1|TMSB4X|yeast 2-hybrid|16169070
APLP1|NACA|yeast 2-hybrid|16169070
APLP1|STX5|yeast 2-hybrid|16169070
APLP1|TCF21|yeast 2-hybrid|16169070
MAP3K12|TSC22D1|yeast 2-hybrid|16169070
MAP3K12|C10orf4|yeast 2-hybrid|16169070
TCF12|PRSS23|yeast 2-hybrid|16169070
SREBF2|RAB11B|yeast 2-hybrid|16169070
NFATC2|VIM|yeast 2-hybrid|16169070
NFATC2|MED31|yeast 2-hybrid|16169070
IK|PFN2|yeast 2-hybrid|16169070
IK|SUPT5H|yeast 2-hybrid|16169070
IK|NUP62|yeast 2-hybrid|16169070
LUM|SFRS10|yeast 2-hybrid|16169070
STAR|FEZ1|yeast 2-hybrid|16169070
PSME1|VIM|yeast 2-hybrid|16169070
PSME1|VCL|yeast 2-hybrid|16169070
PSME1|EMG1|yeast 2-hybrid|16169070
EEF1B2|ULK2|yeast 2-hybrid|16169070
TNNT3|SNUPN|yeast 2-hybrid|16169070
ECH1|SERPINB9|yeast 2-hybrid|16169070
ECH1|PAFAH1B3|yeast 2-hybrid|16169070
LPP|SHPRH|yeast 2-hybrid|16169070
LPP|ATP5J2|yeast 2-hybrid|16169070
LPP|C2orf28|yeast 2-hybrid|16169070
SRP14|NSFL1C|yeast 2-hybrid|16169070
ARL4D|EPRS|yeast 2-hybrid|16169070
ARL4D|PGAM1|yeast 2-hybrid|16169070
ARL4D|PRKCSH|yeast 2-hybrid|16169070
ARL4D|DNAJA1|yeast 2-hybrid|16169070
ARL4D|NDRG1|yeast 2-hybrid|16169070
ARL4D|EML4|yeast 2-hybrid|16169070
ARL4D|MAPK8IP3|yeast 2-hybrid|16169070
PVRL2|ATP5J2|yeast 2-hybrid|16169070
LAMA3|SLC35E1|yeast 2-hybrid|16169070
FXR1|KIAA1377|yeast 2-hybrid|16169070
RGS2|SCN5A|yeast 2-hybrid|16169070
RGS2|DYNLL1|yeast 2-hybrid|16169070
RGS2|ARFGAP1|yeast 2-hybrid|16169070
RGS2|WDR74|yeast 2-hybrid|16169070
RGS2|VPS29|yeast 2-hybrid|16169070
RGS2|NIPSNAP1|yeast 2-hybrid|16169070
SSR1|UTP14A|yeast 2-hybrid|16169070
GRK6|PRSS23|yeast 2-hybrid|16169070
SEPHS1|IGSF21|yeast 2-hybrid|16169070
SEPHS1|C2orf18|yeast 2-hybrid|16169070
SFRS5|IGSF2|yeast 2-hybrid|16169070
SFRS5|TNK2|yeast 2-hybrid|16169070
SFRS5|OLFM2|yeast 2-hybrid|16169070
SETDB1|DLEU1|yeast 2-hybrid|16169070
SETDB1|NIPSNAP3A|yeast 2-hybrid|16169070
SETDB1|BXDC2|yeast 2-hybrid|16169070
SETDB1|QTRT1|yeast 2-hybrid|16169070
SP110|NDUFV2|yeast 2-hybrid|16169070
BRD1|KIAA1377|yeast 2-hybrid|16169070
FCGR2B|C14orf1|yeast 2-hybrid|16169070
PEBP1|STC2|yeast 2-hybrid|16169070
PEBP1|MED10|yeast 2-hybrid|16169070
HSPB3|RAMP3|yeast 2-hybrid|16169070
HSPB3|SETDB1|yeast 2-hybrid|16169070
HSPB3|MED8|yeast 2-hybrid|16169070
HSPB3|NELF|yeast 2-hybrid|16169070
HSPB3|LSM14B|yeast 2-hybrid|16169070
HSPB3|MED31|yeast 2-hybrid|16169070
HSPB3|MRPL38|yeast 2-hybrid|16169070
HSPB3|OLFML3|yeast 2-hybrid|16169070
HSPB3|ZZEF1|yeast 2-hybrid|16169070
HSPB3|C1orf103|yeast 2-hybrid|16169070
FMNL1|XRCC6|yeast 2-hybrid|16169070
MED8|FAM100A|yeast 2-hybrid|16169070
RNF2|CBX4|yeast 2-hybrid|16169070
EDN1|BAT3|yeast 2-hybrid|16169070
EDN1|COPS6|yeast 2-hybrid|16169070
UBC|UCHL1|yeast 2-hybrid|16169070
UBC|DLGAP4|yeast 2-hybrid|16169070
DNAJB9|DYNLL1|yeast 2-hybrid|16169070
DNAJB9|FSCN1|yeast 2-hybrid|16169070
DNAJB9|SLC16A8|yeast 2-hybrid|16169070
DNAJB9|TCEA2|yeast 2-hybrid|16169070
DNAJB9|MYL6|yeast 2-hybrid|16169070
DNAJB9|RFK|yeast 2-hybrid|16169070
LYPLA2|SCMH1|yeast 2-hybrid|16169070
LYPLA2|MED31|yeast 2-hybrid|16169070
MYST2|PACSIN1|yeast 2-hybrid|16169070
MYST2|C15orf29|yeast 2-hybrid|16169070
MYST2|WDR33|yeast 2-hybrid|16169070
MYST2|C9orf82|yeast 2-hybrid|16169070
PRSS23|RACGAP1|yeast 2-hybrid|16169070
PRSS23|PDDC1|yeast 2-hybrid|16169070
PRSS23|PHF23|yeast 2-hybrid|16169070
PRSS23|MAPK8IP2|yeast 2-hybrid|16169070
PRSS23|NIPBL|yeast 2-hybrid|16169070
PRSS23|NCAPD3|yeast 2-hybrid|16169070
PRSS23|ODF2L|yeast 2-hybrid|16169070
ZRF1|HSPA14|in vitro|16002468
CCDC88C|DVL1|in vitro;in vivo;yeast 2-hybrid|14750955
DLGAP3|PTK2|in vitro;yeast 2-hybrid|16202977
DLGAP3|PTK2B|in vitro|16202977
DLGAP3|DLGAP1|in vivo;yeast 2-hybrid|9115257
DLGAP3|DLG1|yeast 2-hybrid|9115257
DLGAP3|DLG3|yeast 2-hybrid|9115257
GRIP1|EFNB1|in vitro;in vivo;yeast 2-hybrid|10197531
VPS37D|TSG101|in vivo;yeast 2-hybrid|15218037
KSR1|RAF1|in vivo|15520859
KSR1|MAP2K1|in vivo|15520859
ZSWIM7|RAD51L3|in vivo|16710300
CBLN3|CBLN1|in vivo;yeast 2-hybrid|10964938,17030622
CBLN3|CBLN2|in vivo;yeast 2-hybrid|17030622
CBLN3|CBLN4|in vivo;yeast 2-hybrid|17030622
VPS37D|HGS|yeast 2-hybrid|15218037
VPS37D|VPS37D|yeast 2-hybrid|15218037
WIPF3|C20orf102|in vitro;in vivo|11553796
ARD1B|NARG1|in vivo|16638120
ARD1B|HIF1A|in vivo|16638120
TAF4B|RELA|in vitro;in vivo|9724652
SHC2|NTRK3|in vivo;yeast 2-hybrid|12006576
SHC2|NTRK2|in vivo|12006576,9507002
APLP1|CDKN2C|yeast 2-hybrid|16169070
APLP1|UTP14A|yeast 2-hybrid|16169070
APLP1|TSC22D1|yeast 2-hybrid|16169070
APLP1|PHF10|yeast 2-hybrid|16169070
APLP1|MPHOSPH6|yeast 2-hybrid|16169070
APLP1|CRCT1|yeast 2-hybrid|16169070
APLP1|TOE1|yeast 2-hybrid|16169070
ANG|TDGF1|yeast 2-hybrid|16169070
ANG|ATP6AP1|yeast 2-hybrid|16169070
ANG|PTEN|yeast 2-hybrid|16169070
ANXA3|IGSF21|yeast 2-hybrid|16169070
ANXA3|EMG1|yeast 2-hybrid|16169070
ALDH7A1|RECQL5|yeast 2-hybrid|16169070
APOD|GRINL1A|yeast 2-hybrid|16169070
ARRB2|SMARCC2|yeast 2-hybrid|16169070
ARRB2|NDUFS7|yeast 2-hybrid|16169070
ARRB2|STC2|yeast 2-hybrid|16169070
ARRB2|MED8|yeast 2-hybrid|16169070
ASNS|STRN4|yeast 2-hybrid|16169070
ATP5C1|CCND3|yeast 2-hybrid|16169070
ATP5C1|EGFR|yeast 2-hybrid|16169070
ATP5C1|ITIH2|yeast 2-hybrid|16169070
ATP5C1|PJA1|yeast 2-hybrid|16169070
ATP5C1|CA12|yeast 2-hybrid|16169070
ATP5C1|DPP3|yeast 2-hybrid|16169070
ATP5C1|GDPD2|yeast 2-hybrid|16169070
ATP5C1|CCT7|yeast 2-hybrid|16169070
ATP5C1|PAWR|yeast 2-hybrid|16169070
ATP5C1|NGEF|yeast 2-hybrid|16169070
ATP5C1|NDUFB3|yeast 2-hybrid|16169070
ATP5C1|PCQAP|yeast 2-hybrid|16169070
ATP5C1|CHMP2B|yeast 2-hybrid|16169070
ATP5C1|ELOF1|yeast 2-hybrid|16169070
ATP5C1|ZNF337|yeast 2-hybrid|16169070
ATP6V0C|MARK3|yeast 2-hybrid|16169070
SLC1A5|TBC1D17|yeast 2-hybrid|16169070
CD48|EEF1D|yeast 2-hybrid|16169070
CD48|BXDC2|yeast 2-hybrid|16169070
B2M|BAT3|yeast 2-hybrid|16169070
B2M|PRSS23|yeast 2-hybrid|16169070
BMP1|YLPM1|yeast 2-hybrid|16169070
ANXA6|CDC73|yeast 2-hybrid|16169070
S100A10|SETDB1|yeast 2-hybrid|16169070
S100A10|COPS6|yeast 2-hybrid|16169070
PPOX|IMMT|yeast 2-hybrid|16169070
PPOX|HAP1|yeast 2-hybrid|16169070
GFER|ASCC2|yeast 2-hybrid|16169070
SERPINH1|C2orf18|yeast 2-hybrid|16169070
HAP1|TIMM17A|yeast 2-hybrid|16169070
HAP1|CCDC113|yeast 2-hybrid|16169070
HAP1|C8orf33|yeast 2-hybrid|16169070
HAP1|C15orf29|yeast 2-hybrid|16169070
HAP1|PDCD7|yeast 2-hybrid|16169070
HAP1|DDX49|yeast 2-hybrid|16169070
HAP1|CBX8|yeast 2-hybrid|16169070
HAP1|ZNF691|yeast 2-hybrid|16169070
HAP1|C16orf24|yeast 2-hybrid|16169070
HAP1|JOSD3|yeast 2-hybrid|16169070
HAP1|GLTSCR2|yeast 2-hybrid|16169070
HAP1|NIPSNAP3A|yeast 2-hybrid|16169070
HAP1|MRPS9|yeast 2-hybrid|16169070
HAP1|NAP1L5|yeast 2-hybrid|16169070
HAP1|RER1|yeast 2-hybrid|16169070
TERF1|DLG5|yeast 2-hybrid|16169070
TERF1|UTP14A|yeast 2-hybrid|16169070
TERF1|ZBTB16|yeast 2-hybrid|16169070
TERF1|RIC8A|yeast 2-hybrid|16169070
DAP|SETDB1|yeast 2-hybrid|16169070
LLGL1|ACD|yeast 2-hybrid|16169070
MAN2A2|IKBKAP|yeast 2-hybrid|16169070
MAN2A2|GIT1|yeast 2-hybrid|16169070
MAN2A2|LUC7L2|yeast 2-hybrid|16169070
DFNA5|PTN|yeast 2-hybrid|16169070
LEPR|PIN1|yeast 2-hybrid|16169070
SNTA1|MED8|yeast 2-hybrid|16169070
AP2A1|RIT1|yeast 2-hybrid|16169070
AP2A1|TOE1|yeast 2-hybrid|16169070
LAMA5|BTBD10|yeast 2-hybrid|16169070
HNRPH1|TOM1L1|yeast 2-hybrid|16169070
PIN1|DDX24|yeast 2-hybrid|16169070
PIN1|MTFR1|yeast 2-hybrid|16169070
PIN1|KLHL20|yeast 2-hybrid|16169070
PIN1|ZCCHC10|yeast 2-hybrid|16169070
PIN1|PTOV1|yeast 2-hybrid|16169070
ZFP36L1|PAFAH1B2|yeast 2-hybrid|16169070
CTSK|FGFR3|yeast 2-hybrid|16169070
TXNRD1|PPP1R16A|yeast 2-hybrid|16169070
MPP3|HAP1|yeast 2-hybrid|16169070
PRSS23|C1orf160|yeast 2-hybrid|16169070
PRSS23|NOC4L|yeast 2-hybrid|16169070
PRSS23|TRAPPC4|yeast 2-hybrid|16169070
PPBP|CUGBP1|yeast 2-hybrid|16169070
PPBP|COX17|yeast 2-hybrid|16169070
PPBP|STRN4|yeast 2-hybrid|16169070
P4HB|FEZ1|yeast 2-hybrid|16169070
CNGB1|PNN|yeast 2-hybrid|16169070
HSPA8|TM4SF1|yeast 2-hybrid|16169070
HSPA8|TADA3L|yeast 2-hybrid|16169070
HSPA8|DPP3|yeast 2-hybrid|16169070
HSPA8|C4orf14|yeast 2-hybrid|16169070
DCTN1|PGAM1|yeast 2-hybrid|16169070
CBR3|RAB35|yeast 2-hybrid|16169070
CBR3|ARIH2|yeast 2-hybrid|16169070
QARS|DUSP11|yeast 2-hybrid|16169070
QARS|CPNE3|yeast 2-hybrid|16169070
TPD52L1|EIF3S1|yeast 2-hybrid|16169070
TPD52L1|GPR135|yeast 2-hybrid|16169070
TPD52L1|C7orf36|yeast 2-hybrid|16169070
SFPQ|SFPQ|yeast 2-hybrid|16169070
SFPQ|HN1|yeast 2-hybrid|16169070
BNIP3L|RINT1|yeast 2-hybrid|16169070
PCDHA4|IGSF21|yeast 2-hybrid|16169070
NPM3|KIAA1377|yeast 2-hybrid|16169070
TSC22D1|CORO2B|yeast 2-hybrid|16169070
TSC22D1|TSC22D1|yeast 2-hybrid|16169070
TSC22D1|CCDC90B|yeast 2-hybrid|16169070
HERPUD1|STARD9|yeast 2-hybrid|16169070
SEC11A|C2orf18|yeast 2-hybrid|16169070
CHGB|S100A8|yeast 2-hybrid|16169070
CHGB|FGFR3|yeast 2-hybrid|16169070
CHGB|RXRG|yeast 2-hybrid|16169070
CHGB|TAZ|yeast 2-hybrid|16169070
CHGB|UBTF|yeast 2-hybrid|16169070
CHGB|ATXN2|yeast 2-hybrid|16169070
CHGB|PTEN|yeast 2-hybrid|16169070
CHGB|OGG1|yeast 2-hybrid|16169070
CHGB|MARK3|yeast 2-hybrid|16169070
CHGB|SAFB2|yeast 2-hybrid|16169070
CHGB|TWF2|yeast 2-hybrid|16169070
CHGB|POLD1|yeast 2-hybrid|16169070
CHGB|POLR2E|yeast 2-hybrid|16169070
CHGB|CCDC92|yeast 2-hybrid|16169070
SHC2|NTRK1|in vitro;in vivo;yeast 2-hybrid|12006576,9507002
SHC2|GRB2|in vivo|12006576
ZWILCH|ZW10|in vitro;in vivo|12686595
ZWILCH|KNTC1|in vitro;in vivo|12686595
PIGY|PIGA|in vivo|16162815
TRIAP1|TP53|in vitro;in vivo|15735003
SMEK2|PPP4C|yeast 2-hybrid|16085932
SCYL2|CLTC|in vitro;in vivo|1589293
MKS1|TMEM67|in vivo|17185389
C16orf53|PAXIP1|in vitro;in vivo|17500065
SRFBP1|SRF|in vitro;in vivo;yeast 2-hybrid|15492011
SCYL2|GTF3A|in vitro;in vivo|1589293
SRFBP1|SLC2A4|in vitro;yeast 2-hybrid|16647043
CALCOCO1|EP300|in vitro|16931570
CALCOCO1|CREBBP|in vivo|16931570
CALCOCO1|CTNNBL1|in vitro;in vivo|16344550
CALCOCO1|IPP|in vivo|15522220
MARCH5|MFN2|in vitro;in vivo|16936636
MARCH5|UTRN|in vitro;in vivo|16936636
RPS19BP1|RPS19|in vitro;yeast 2-hybrid|16289379
JOSD3|POLB|in vivo;yeast 2-hybrid|15520167
FANCI|FANCD2|in vitro|17460694
RAVER2|PTBP1|yeast 2-hybrid|16051233
KIAA1754|ITPR1|in vitro;in vivo;yeast 2-hybrid|16990268
KIAA1949|PPP1CA|in vitro;in vivo;yeast 2-hybrid|17374523
FAM125A|SH3KBP1|in vivo|16895919
C15orf41|ASF1B|in vivo;yeast 2-hybrid|17353931
FAM125A|CD2AP|in vivo|16895919
IFT80|PLXNA2|yeast 2-hybrid|12421765
CAPNS1|RAB1A|yeast 2-hybrid|16169070
CAPNS1|TERF1|yeast 2-hybrid|16169070
CAPNS1|LRRCC1|yeast 2-hybrid|16169070
CAPNS1|GNB2|yeast 2-hybrid|16169070
CAPNS1|C7orf20|yeast 2-hybrid|16169070
CAPNS1|DRG1|yeast 2-hybrid|16169070
CAPNS1|ATP5J2|yeast 2-hybrid|16169070
CALM2|MYO6|yeast 2-hybrid|16169070
CALM2|MRPL20|yeast 2-hybrid|16169070
CANX|FAM107A|yeast 2-hybrid|16169070
CA8|LRCH4|yeast 2-hybrid|16169070
CBR1|ERCC8|yeast 2-hybrid|16169070
CPE|GTF3C1|yeast 2-hybrid|16169070
CPE|POLA2|yeast 2-hybrid|16169070
CPE|ROBO2|yeast 2-hybrid|16169070
CEACAM5|PTCHD2|yeast 2-hybrid|16169070
COMT|LITAF|yeast 2-hybrid|16169070
CTSB|BAT3|yeast 2-hybrid|16169070
CTSB|RGS2|yeast 2-hybrid|16169070
CTSE|BAT3|yeast 2-hybrid|16169070
CTSE|EMG1|yeast 2-hybrid|16169070
CUTL1|RECQL5|yeast 2-hybrid|16169070
CUTL1|ELAC2|yeast 2-hybrid|16169070
CDKN1A|GNB2L1|yeast 2-hybrid|16169070
CDKN1A|RAB1A|yeast 2-hybrid|16169070
CDKN1A|SLC25A11|yeast 2-hybrid|16169070
CDKN1A|C1orf123|yeast 2-hybrid|16169070
CDKN1A|TTLL5|yeast 2-hybrid|16169070
CDKN1A|HDAC11|yeast 2-hybrid|16169070
CDKN1A|C7orf20|yeast 2-hybrid|16169070
CDKN1A|ITGB1BP3|yeast 2-hybrid|16169070
MCM2|RPS4X|yeast 2-hybrid|16169070
MCM2|MPP3|yeast 2-hybrid|16169070
CDC42|MYO9A|yeast 2-hybrid|16169070
CHN1|RPS3A|yeast 2-hybrid|16169070
CHN1|GTF3C1|yeast 2-hybrid|16169070
CETP|ARPC3|yeast 2-hybrid|16169070
CGA|PTN|yeast 2-hybrid|16169070
CLTC|ARMCX3|yeast 2-hybrid|16169070
CLTC|C10orf88|yeast 2-hybrid|16169070
CLTB|PQBP1|yeast 2-hybrid|16169070
SSFA2|LUC7L2|yeast 2-hybrid|16169070
COL7A1|FBXL2|yeast 2-hybrid|16169070
COL7A1|HSPA8|yeast 2-hybrid|16169070
COL7A1|ZC3H7A|yeast 2-hybrid|16169070
COL7A1|SHKBP1|yeast 2-hybrid|16169070
COL9A2|HAP1|yeast 2-hybrid|16169070
MPP3|SCN2A|yeast 2-hybrid|16169070
MPP3|RPS2|yeast 2-hybrid|16169070
MPP3|RAB31|yeast 2-hybrid|16169070
MPP3|PLK2|yeast 2-hybrid|16169070
MPP3|CCDC137|yeast 2-hybrid|16169070
MPP3|SF3B3|yeast 2-hybrid|16169070
MPP3|C4orf14|yeast 2-hybrid|16169070
MPP3|KBTBD4|yeast 2-hybrid|16169070
MPP3|TRIM41|yeast 2-hybrid|16169070
MPP3|MORN2|yeast 2-hybrid|16169070
SEMA3F|UBE1|yeast 2-hybrid|16169070
SEMA3F|TMEM22|yeast 2-hybrid|16169070
STT3A|CSDE1|yeast 2-hybrid|16169070
STT3A|ITM2C|yeast 2-hybrid|16169070
DDX11|PFN2|yeast 2-hybrid|16169070
CCL11|TPI1|yeast 2-hybrid|16169070
RAN|NELF|yeast 2-hybrid|16169070
RAN|KIAA1377|yeast 2-hybrid|16169070
SCN2A|ARHGEF10L|yeast 2-hybrid|16169070
SCN2A|RNF130|yeast 2-hybrid|16169070
NACA|FUNDC2|yeast 2-hybrid|16169070
HDAC1|TPD52L1|yeast 2-hybrid|16169070
BIN1|CUTL1|yeast 2-hybrid|16169070
PRPSAP1|DDX19B|yeast 2-hybrid|16169070
NHP2L1|RBM10|yeast 2-hybrid|16169070
NHP2L1|POLA2|yeast 2-hybrid|16169070
NHP2L1|C1orf103|yeast 2-hybrid|16169070
CSE1L|RPL22|yeast 2-hybrid|16169070
CSE1L|PPP5C|yeast 2-hybrid|16169070
CSE1L|HNRPL|yeast 2-hybrid|16169070
CSE1L|TMEM62|yeast 2-hybrid|16169070
DVL1|USP13|yeast 2-hybrid|16169070
DVL1|HDHD2|yeast 2-hybrid|16169070
DVL3|LY6H|yeast 2-hybrid|16169070
EFNA3|PRSS23|yeast 2-hybrid|16169070
KARS|PAFAH1B1|yeast 2-hybrid|16169070
KARS|FRS3|yeast 2-hybrid|16169070
SKP1A|DDX19B|yeast 2-hybrid|16169070
SKP1A|FBXO34|yeast 2-hybrid|16169070
DGKZ|GRINL1A|yeast 2-hybrid|16169070
CFL1|MYCBP|yeast 2-hybrid|16169070
BLOC1S1|PTN|yeast 2-hybrid|16169070
NDUFB9|SH3GL3|yeast 2-hybrid|16169070
NDUFB9|IKBKAP|yeast 2-hybrid|16169070
NDUFB9|FEZ1|yeast 2-hybrid|16169070
